state_name,state_name_slug,state_code,state_code_slug,class,bioguide,thomas,opensecrets,votesmart,fec,maplight,wikidata,google_entity_id,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openly_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
"Alaska","alaska","AK","ak","II","S001198","2290","N00035774","114964",,,,,"senator","republican","Daniel Sullivan","daniel-sullivan","Daniel",,"Sullivan",,"Dan","DAN SUHL-ih-vuhn","male","white-american","roman-catholic","no","1964-11-13","2015-01-03","2027-01-03","Dan Sullivan is a Senator from Alaska; born in Fairview Park, Cuyahoga County, Ohio, November 13, 1964; graduated Culver Military Academy, Culver, Ind., 1983; B.A., Harvard University, 1987; M.F.S. and J.D., Georgetown University, 1993; United States Marine Corps 1993-1997; United States Marine Corps Reserves 1997-present, attaining the rank of lieutenant colonel; lawyer; White House aide and director on the National Security Council staff during the George W. Bush administration; assistant U.S. secretary of state for economic, energy and business affairs 2006-2009; attorney general of Alaska 2009-2010; Commissioner of Alaska Department of Natural Resources 2010-2013; elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.","202-224-3004","202-224-6501","38.892839","-77.004356","702 Hart Senate Office Building, Washington, DC 20510",,,"702 Hart Senate Office Building",,,"Washington","DC","20510","Building","http://www.sullivan.senate.gov","https://www.sullivan.senate.gov/contact/email","https://facebook.com/SenDanSullivan","SenDanSullivan","https://twitter.com/SenDanSullivan","https://cdn.civil.services/us-senate/headshots/512x512/daniel-sullivan.jpg"
"Alaska","alaska","AK","ak","III","M001153","1694","N00026050","15841",,,,,"senator","republican","Lisa Murkowski","lisa-murkowski","Lisa",,"Murkowski",,,"LEE-suh mer-COW-skee","female","white-american","roman-catholic","no","1957-05-22","2002-12-20","2023-01-03","Lisa Murkowski (daughter of Frank Hughes Murkowski), a Senator from Alaska; born in Ketchikan, Alaska, on May 22, 1957; attended public schools in Fairbanks, AK; attended Willamette University in Salem, Oregon, 1975-1977; B.A. in Economics, Georgetown University 1980; J.D., Willamette College of Law 1985; attorney; member, Alaska Bar Association; Anchorage District Court attorney 1987-1989; private practice 1989-1996; Mayor's Task Force on the Homeless 1990-1991; Anchorage Equal Rights Commission 1997-1998; Alaska State house of representatives 1999-2002; appointed to the U.S. Senate on December 20, 2002, to fill the vacancy caused by the resignation of her father, Frank H. Murkowski; elected to the U.S. Senate in 2004; unsuccessful candidate for renomination in 2010, but subsequently elected as a write-in candidate in the November 2, 2010, general election, for the term ending January 3, 2017; Republican Conference vice-chair (2009-2010); chair, Committee on Energy and Natural Resources (One Hundred Fourteenth Congress).","202-224-6665","202-224-5301","38.892839","-77.004356","709 Hart Senate Office Building, Washington, DC 20510",,,"709 Hart Senate Office Building",,,"Washington","DC","20510","Building","http://www.murkowski.senate.gov","https://www.murkowski.senate.gov/public/index.cfm/contact","https://facebook.com/SenLisaMurkowski","lisamurkowski","https://twitter.com/lisamurkowski","https://cdn.civil.services/us-senate/headshots/512x512/lisa-murkowski.jpg"
"Alabama","alabama","AL","al","II","T000278",,,"188306","S0AL00230",,,,"senator","republican","Tommy Tuberville","tommy-tuberville","Tommy","Hawley","Tuberville",,,"taw-mee too-buh-vil","male","white-american","christian","no","1954-09-18","2021-01-03","2027-01-03","United States Senator Tommy Tuberville was elected to the U.S. Senate in 2020 and is currently serving his first term representing the state of Alabama. His constituents still know him as Coach Tuberville, following his 40-year career coaching college football.","202-224-4124",,"38.892542","-77.007415","B40A Dirksen Senate Office Building Washington DC 20510",,,"B40A Dirksen Senate Office Building Washington DC 20510",,,"Washington","DC","20510","Building","https://www.tuberville.senate.gov","https://www.tuberville.senate.gov/","https://facebook.com/SenatorTuberville/","SenTuberville","https://twitter.com/SenTuberville","https://cdn.civil.services/us-senate/headshots/512x512/tommy-tuberville.jpg"
"Alabama","alabama","AL","al","III","S000320","1049","N00009920","53266",,,,,"senator","republican","Richard  Shelby","richard-shelby","Richard ","C.","Shelby",,,"RICH-erd SHELL-bee","male","white-american","presbyterian","no","1934-05-06","1987-01-03","2023-01-03","Richard Shelby, a Senator and a Representative from Alabama; born in Birmingham, Ala., May 6, 1934; attended the public schools; graduated, University of Alabama 1957; graduated, University of Alabama School of Law 1963; admitted to the Alabama bar in 1961 and commenced practice in Tuscaloosa; city prosecutor, Tuscaloosa 1963-1971; United States Commissioner, Northern District of Alabama 1966-1970; Member, Alabama State Senate 1970-1978; elected as a Democrat to the Ninety-sixth Congress in 1978; reelected to the three succeeding Congresses and served from January 3, 1979, to January 3, 1987; was not a candidate for reelection to the House of Representatives in 1986, but was elected to the United States Senate; reelected in 1992, 1998, 2004, and again in 2010 for the term ending January 3, 2017; changed from the Democratic to the Republican Party in 1994; Chair, Select Committee on Intelligence (One Hundred Fifth and One Hundred Sixth Congresses, One Hundred Seventh Congress [January 20, 2001-June 6, 2001]), Committee on Banking, Housing and Urban Affairs (One Hundred Eighth and One Hundred Ninth Congresses, One Hundred Fourteenth Congress).","202-224-5744","202-224-3416","38.892542","-77.007415","304 Russell Senate Office Building, Washington, DC 20510",,,"304 Russell Senate Office Building",,,"Washington","DC","20510","Building","http://www.shelby.senate.gov","https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby","https://facebook.com/RichardShelby","SenShelby","https://twitter.com/SenShelby","https://cdn.civil.services/us-senate/headshots/512x512/richard-shelby.jpg"
"Arkansas","arkansas","AR","ar","III","B001236","1687","N00013873","27958",,,,,"senator","republican","John Boozman","john-boozman","John",,"Boozman",,,"JAHN BOHZ-muhn","male","white-american","southern-baptist","no","1950-12-10","2011-01-03","2023-01-03","John Boozman, a Senator and a Representative from Arkansas; born in Shreveport, La., December 10, 1950; graduated from Northside High School, Fort Smith, Ark.; attended the University of Arkansas, Fayetteville, Ark., 1969-1972; graduated Southern College of Optometry, 1977; optometrist; business owner; rancher; member of the Rogers, Ark., school board; elected as a Republican to the One Hundred Seventh Congress by special election to fill the vacancy caused by the resignation of United States Representative Asa Hutchinson; reelected to the four succeeding Congresses (November 20, 2001-January 3, 2011); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2010 for the term ending January 3, 2017.","202-224-4843","202-228-1371","38.892839","-77.004356","141 Hart Senate Office Building, Washington, DC 20510",,,"141 Hart Senate Office Building",,,"Washington","DC","20510","Building","http://www.boozman.senate.gov","https://www.boozman.senate.gov/public/index.cfm/contact","https://facebook.com/JohnBoozman","JohnBoozman","https://twitter.com/JohnBoozman","https://cdn.civil.services/us-senate/headshots/512x512/john-boozman.jpg"
"Arkansas","arkansas","AR","ar","II","C001095","2098","N00033363","135651",,,,,"senator","republican","Tom Cotton","tom-cotton","Tom",,"Cotton",,,"TAHM KAH-tn","male","white-american","methodist","no","1977-05-13","2015-01-03","2027-01-03","Tom Cotton, a Senator and a Representative from Arkansas; born in Dardanelle, Yell County, Ark., May 13, 1977; A.B., Harvard University, Cambridge, Mass., 1998; attended Claremont Graduate University, Claremont, Calif., 1998-1999; J.D., Harvard University, Cambridge, Mass., 2002; United States Army, 2004-2009; clerk, U.S. Court of Appeals, 2002-2003; lawyer, private practice; management consultant; farmer; elected as a Republican to the One Hundred Thirteenth Congress (January 3, 2013-January 3, 2015); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.","202-224-2353","479-927-1092","38.892542","-77.007415","124 Russell Senate Office Building, Washington, DC 20510",,,"124 Russell Senate Office Building",,,"Washington","DC","20510","Building","http://www.cotton.senate.gov","https://www.cotton.senate.gov/?p=contact","https://facebook.com/SenatorTomCotton","sentomcotton","https://twitter.com/sentomcotton","https://cdn.civil.services/us-senate/headshots/512x512/tom-cotton.jpg"
"Arizona","arizona","AZ","az","I","S001191","2099","N00033983","28338","S8AZ00197",,"Q1556541",,"senator","democrat","Kyrsten Sinema","kyrsten-sinema","Kyrsten",,"Sinema",,,"KEERS-ten SI-nuh-muh","female","white-american","unspecified","bisexual","1976-07-12","2019-01-03","2025-01-03","Kyrsten Sinema is a Democratic member of the U.S. Senate from Arizona. Sinema was elected to the office on November 6, 2018. Sinema is a Democratic member of the U.S. House representing Arizona's 9th Congressional District. She was first elected in 2012 and sworn in on January 3, 2013, becoming the first openly bisexual member of Congress.","202-224-4521",,"38.892839","-77.004356","825B&C Hart Senate Office Building, Washington DC 20510",,,"825B&C Hart Senate Office Building",,,"Washington","DC","20510","Building","https://www.sinema.senate.gov/","https://www.senate.gov/senators/116thCongress/SinemaKyrsten.htm","https://facebook.com/KyrstenSinema","kyrstensinema","https://twitter.com/kyrstensinema","https://cdn.civil.services/us-senate/headshots/512x512/kyrsten-sinema.jpg"
"Arizona","arizona","AZ","az","III","K000377",,"N00044223",,"S0AZ00350",,,,"senator","democrat","Mark Kelly","mark-kelly","Mark",,"Kelly",,,"marhk kel-ly","male","white-american","unspecified","no","1964-02-21","2020-12-02","2023-01-03","Senator Kelly is the son of two police officers, and he attended public schools from elementary school through the U.S. Merchant Marine Academy and U.S. Naval Postgraduate School. As a naval aviator, he served on the aircraft carrier the U.S.S. Midway and flew 39 combat missions in Operation Desert Storm.","202-224-2235",,"38.892947","-77.075686","B40B Dirksen Senate Office Building Washington DC 20510",,,"B40B Dirksen Senate Office Building Washington DC 20510",,,"Washington","DC","20510","Building","https://www.kelly.senate.gov","https://www.kelly.senate.gov/","https://facebook.com/SenMarkKelly/","SenMarkKelly","https://twitter.com/SenMarkKelly","https://cdn.civil.services/us-senate/headshots/512x512/mark-kelly.jpg"
"California","california","CA","ca","I","F000062","1332","N00007364","53273",,,,,"senator","democrat","Dianne Feinstein","dianne-feinstein","Dianne",,"Feinstein",,,"DIE-ann FINE-stine","female","white-american","jewish","no","1933-06-22","1992-11-10","2019-01-03","Dianne Feinstein, a Senator from California; born in San Francisco, Calif., June 22, 1933; attended the San Francisco public schools and graduated from the Convent of the Sacred Heart High School 1951; graduated, Stanford University 1955; Member, California Women's Board of Terms and Parole 1960-1966; Member, San Francisco Board of Supervisors 1970-1978, serving as president 1970-1971, 1974-1975, 1978; mayor of San Francisco 1978-1988; director, Bank of California 1988-1989; co-chair, San Francisco Education Fund's Permanent Fund 1988-1989; unsuccessful candidate for Governor of California 1990; elected in a special election on November 3, 1992, as a Democrat to the United States Senate to fill the term left vacant by the resignation of Pete Wilson; took office on November 4, 1992, and took the oath of office on November 10, 1992; reelected in 1994, 2000, 2006, and again in 2012 for the term ending January 3, 2019; chair, Committee on Rules and Administration (One Hundred Tenth Congress), Select Committee on Intelligence (One Hundred Eleventh to One Hundred Thirteenth Congresses).","202-224-3841","202-228-3954","38.892839","-77.004356","331 Hart Senate Office Building, Washington, DC 20510",,,"331 Hart Senate Office Building",,,"Washington","DC","20510","Building","http://www.feinstein.senate.gov","https://www.feinstein.senate.gov/public/index.cfm/e-mail-me","https://facebook.com/SenatorFeinstein","SenFeinstein","https://twitter.com/SenFeinstein","https://cdn.civil.services/us-senate/headshots/512x512/dianne-feinstein.jpg"
"California","california","CA","ca","III","P000145",,,"59742",,,,,"senator","democrat","Alejandro Padilla","alejandro-padilla","Alejandro",,"Padilla",,"Alex","ah-lex pa-dil-la","male","hispanic-american","catholic","no","1973-03-22","2021-01-20","2027-01-03","Senator Alex Padilla is the proud son of immigrants from Mexico, his father a short-order cook and his mother a housekeeper. Padilla attended Los Angeles public schools and is a graduate of the Massachusetts Institute of Technology (MIT) where he earned a Bachelor’s of Science degree in Mechanical Engineering.","202-224-3553",,"38.892839","-77.004356","112 Hart Senate Office Building Washington DC 20510",,,"112 Hart Senate Office Building Washington DC 20510",,,"Washington","DC","20510","Building","https://www.padilla.senate.gov/","https://www.padilla.senate.gov/","https://facebook.com/SenAlexPadilla/","SenAlexPadilla","https://twitter.com/SenAlexPadilla","https://cdn.civil.services/us-senate/headshots/512x512/alejandro-padilla.jpg"
