state_name,state_name_slug,state_code,state_code_slug,district,at_large,vacant,bioguide,thomas,opensecrets,votesmart,fec,maplight,wikidata,google_entity_id,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openly_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
"Alaska","alaska","AK","ak",,"true","false","Y000033","1256","N00007999","26717","H6AK00045","525","Q1239590","kg:/m/024p1k","representative","republican","Don Young","don-young","Don",,"Young",,,"DAHN YUHNG","male","white-american","episcopalian","no","1933-06-09","1973-01-03","2023-01-03","Don Young, a Representative from Alaska; born in Meridian, Sutter County, Calif., June 9, 1933; A.A., Yuba Junior College, Marysville, Calif., 1952; B.A., California State University, Chico, Calif., 1958; United States Army, 1955-1957; teacher; Mayor of Fort Yukon, Alaska, 1960-1968; riverboat captain, 1968-1972; member of the Fort Yukon, Alaska, city council, 1960-1968; member of the Alaska state house of representatives, 1966-1970; member of the Alaska state senate, 1970-1973; delegate, Alaska state Republican conventions, 1964, 1966, 1968, and 1972; elected as a Republican to the Ninety-third Congress, by special election, to fill the vacancy caused by the death of United States Representative Nick Begich, and reelected to the twenty-two succeeding Congresses (March 6, 1973-present); chair, Committee on Resources (One Hundred Fourth through One Hundred Sixth Congresses); chair, Committee on Transportation and Infrastructure (One Hundred Seventh through One Hundred Ninth Congresses).","202-225-5765",,"38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://donyoung.house.gov","https://donyoung.house.gov/contact","https://facebook.com/RepDonYoung","repdonyoung","https://twitter.com/repdonyoung","https://cdn.civil.services/us-house/headshots/512x512/don-young.jpg"
"Alabama","alabama","AL","al","1","false","false","C001054",,,,"H0AL01055",,,,"representative","republican","Jerry Carl","jerry-carl","Jerry","Lee","Carl","Jr.",,"jer-ry carl","male","white-american","southern-baptist","no","1958-06-17","2021-01-03","2023-01-03","Carl attended Lake City Community College in Lake City, Florida until 1978. He has started and sold businesses in the healthcare equipment, real estate, and timber fields.","202-225-4931",,"38.8863235","-77.011373","1330 Longworth House Office Building Washington DC 20515-0101","1330",,"Longworth",,,"House Office Building Washington","DC","20515",,"https://carl.house.gov","https://carl.house.gov/contact","https://facebook.com/RepJerryCarl","RepJerryCarl","https://twitter.com/RepJerryCarl","https://cdn.civil.services/us-house/headshots/512x512/jerry-carl.jpg"
"Alabama","alabama","AL","al","2","false","false","M001212",,,,"H8AL02171",,,,"representative","republican","Felix Moore","felix-moore","Felix","Barry","Moore",,"Barry","fee-liks moore","male","white-american","christian","no","1966-09-26","2021-01-03","2023-01-03","Moore received an associate degree from Enterprise State Junior College and a bachelor's degree from Auburn University. He served in the United States Army and in the Alabama National Guard and Reserves. As of the 2020 election, he was CEO of Barry Moore Industries, which he founded in 1998.","202-225-2901",,"38.8863235","-77.011373","1504 Longworth House Office Building Washington DC 20515-0102","1504",,"Longworth",,,"House Office Building Washington","DC","20515",,"https://barrymoore.house.gov","https://barrymoore.house.gov/contact","https://facebook.com/RepBarryMoore","RepBarryMoore","https://twitter.com/RepBarryMoore","https://cdn.civil.services/us-house/headshots/512x512/felix-moore.jpg"
"Alabama","alabama","AL","al","3","false","false","R000575","1704","N00024759","5705","H2AL03032","433","Q693238","kg:/m/024n_s","representative","republican","Mike Rogers","mike-rogers","Mike",,"Rogers",,,"MIKE RAH-jerz","male","white-american","baptist","no","1958-07-16","2003-01-07","2023-01-03","Mike Rogers, a Representative from Alabama; born in Hammond, Lake County, Ind., July 16, 1958; graduated from Saks High School, Anniston, Ala., 1976; B.A., Jacksonville State University, Jacksonville, Ala., 1981; M.P.A., Jacksonville State University, Jacksonville, Ala., 1984; J.D., Birmingham School of Law, Birmingham, Ala., 1991; member of the Calhoun County, Ala., commission, 1987-1990; member of the Alabama state house of representatives, 1994-2002, minority leader, 1998-2000; elected as a Republican to the One Hundred Eighth and to the seven succeeding Congresses (January 3, 2003-present).","202-225-3261","202-226-8485","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://mikerogers.house.gov","https://mikerogers.house.gov/contact-mike/email-me","https://facebook.com/MikeRogersforCongress","RepMikeRogersAL","https://twitter.com/RepMikeRogersAL","https://cdn.civil.services/us-house/headshots/512x512/mike-rogers.jpg"
"Alabama","alabama","AL","al","4","false","false","A000055","1460","N00003028","441","H6AL04098","127","Q672671","kg:/m/024p03","representative","republican","Robert Aderholt","robert-aderholt","Robert",,"Aderholt",,,"RAH-bert ADD-er-holt","male","white-american","congregationalist","no","1965-07-22","1997-01-07","2023-01-03","Robert Aderholt, a Representative from Alabama; born in Haleyville, Winston County, Ala., July 22, 1965; B.A., Birmingham Southern College, Birmingham, Ala., 1987; J.D., Samford University, Birmingham, Ala., 1990; lawyer, private practice; Haleyville, Ala., municipal judge, 1992-1995; staff, Alabama Governor Fob James, 1995-1996; elected as a Republican to the One Hundred Fifth and to the ten succeeding Congresses (January 3, 1997-present).","202-225-4876",,"38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://aderholt.house.gov","https://aderholt.house.gov/contact-robert","https://facebook.com/RobertAderholt","Robert_Aderholt","https://twitter.com/Robert_Aderholt","https://cdn.civil.services/us-house/headshots/512x512/robert-aderholt.jpg"
"Alabama","alabama","AL","al","5","false","false","B001274","1987","N00030910","121610","H0AL05163","1409","Q1941306","kg:/m/0c3xdjf","representative","republican","Mo Brooks","mo-brooks","Mo",,"Brooks",,,"MOH BROOKS","male","white-american","christian","no","1954-04-29","2011-01-05","2023-01-03","Mo Brooks, a Representative from Alabama; born in Charleston, Charleston County, S.C., April 29, 1954; graduated from Grissom High School, Huntsville, Ala., 1972; B.A., Duke University, Durham, N.C., 1975; J.D., University of Alabama School of Law, Tuscaloosa, Ala., 1978; lawyer, private practice; Tuscaloosa County, Ala. prosecutor, 1978-1980; clerk, Circuit Court Judge John Snodgrass, 1980-1982; member of the Alabama house of representatives, 1982-1992; Madison County, Ala. district attorney, 1991-1993; special assistant attorney general, state of Alabama, 1995-2002; commissioner, Madison County, Ala., board of commissions, 1996-2010; elected as a Republican to the One Hundred Twelfth and to the three succeeding Congresses (January 3, 2011-present).","202-225-4801","202-225-4392","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://brooks.house.gov","https://brooks.house.gov/contact-me","https://facebook.com/RepMoBrooks","RepMoBrooks","https://twitter.com/RepMoBrooks","https://cdn.civil.services/us-house/headshots/512x512/mo-brooks.jpg"
"Alabama","alabama","AL","al","6","false","false","P000609","2221","N00035691","146274","H4AL06098","2064","Q17386504","kg:/m/0115nklq","representative","republican","Gary Palmer","gary-palmer","Gary",,"Palmer",,,"GAIR-ee PAWL-mer","male","white-american","christian","no","1954-05-14","2015-01-06","2023-01-03","Gary Palmer, a Representative from Alabama; born in Haleyville, Winston County, Ala., May 14, 1954; graduated from Hackleburg High School, Hackleburg, Ala., 1972; attended Northwest Alabama Junior College, Phil Campbell, Ala., 1972-1974; B.S., University of Alabama, Tuscaloosa, Ala., 1977; engineer; professional advocate; elected as a Republican to the One Hundred Fourteenth Congress and to the succeeding Congress (January 3, 2015-present).","202-225-4921","202-225-2082","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://palmer.house.gov","https://palmer.house.gov/contact","https://facebook.com/CongressmanGaryPalmer","USRepGaryPalmer","https://twitter.com/USRepGaryPalmer","https://cdn.civil.services/us-house/headshots/512x512/gary-palmer.jpg"
"Alabama","alabama","AL","al","7","false","false","S001185","1988","N00030622","121621","H0AL07086","1410","Q461621","kg:/m/05pbszt","representative","democrat","Terri Sewell","terri-sewell","Terri","A.","Sewell",,,"TAIR-ee SOO-uhl","female","african-american","protestant","no","1965-01-01","2011-01-05","2023-01-03","Terri Sewell, a Representative from Alabama; born in Huntsville, Madison County, Ala., January 1, 1965; graduated from Selma High School, Selma, Ala., 1982; A.B., Princeton University, Princeton, N.J., 1986; M.A., Oxford University, Oxford, England, 1988; J.D., Harvard University, Cambridge, Mass., 1992; lawyer, private practice; elected as a Democrat to the One Hundred Twelfth and to the three succeeding Congresses (January 3, 2011-present).","202-225-2665","202-226-9567","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://sewell.house.gov","https://sewell.house.gov/contact/email-me","https://facebook.com/RepSewell","RepTerriSewell","https://twitter.com/RepTerriSewell","https://cdn.civil.services/us-house/headshots/512x512/terri-sewell.jpg"
"Arkansas","arkansas","AR","ar","1","false","false","C001087","1989","N00030770","119208","H0AR01083","1414","Q2151554","kg:/m/0czb3pp","representative","republican","Rick Crawford","rick-crawford","Rick",,"Crawford",,,"RICK KRAW-ferd","male","white-american","southern-baptist","no","1966-01-22","2011-01-05","2023-01-03","Rick Crawford, a Representative from Arkansas; born at Homestead Air Force Base, Miami-Dade County, Florida, January 22, 1966; graduated from Alvirne High School in Hudson, N.H.; United States Army, 1985-1989; B.S., Arkansas State University, Jonesboro, Ark., 1996; journalist; business owner; elected as a Republican to the One Hundred Twelfth and to the three succeeding Congresses (January 3, 2011-present).","202-225-4076","202-225-5602","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://crawford.house.gov","https://crawford.house.gov/contact","https://facebook.com/RepRickCrawford","RepRickCrawford","https://twitter.com/RepRickCrawford","https://cdn.civil.services/us-house/headshots/512x512/rick-crawford.jpg"
"Arkansas","arkansas","AR","ar","2","false","false","H001072","2223","N00035792","146290","H4AR02141","2065","Q18631366","kg:/m/0127p1zk","representative","republican","French Hill","french-hill","French",,"Hill",,,"FRENCH HILL","male","white-american","roman-catholic","no","1956-12-05","2015-01-06","2023-01-03","French Hill, a Representative from Arkansas; born in Little Rock, Pulaski County, Ark., December 5, 1956; graduated from Little Rock Catholic High School, Little Rock, Ark., 1975; B.S., Vanderbilt University, Nashville, Tenn., 1979; banker; businessman; staff, United States Senate Committee on Banking, Housing, and Urban Affairs, 1982-1984; deputy assistant, United States Treasury, 1989-1991; special assistant to the President and Executive Secretary of Economic Policy Council, 1991-1993; senior advisor, Governor Mike Huckabee of Arkansas, 2008; elected as a Republican to the One Hundred Fourteenth Congress and to the succeeding Congress (January 3, 2015-present).","202-225-2506","202-225-5903","38.8863235","-77.011373","2436 Rayburn HOB, Washington, DC 20515","2436",,"Rayburn HOB",,,"Washington","DC","20515",,"https://hill.house.gov","https://hill.house.gov/contact/email","https://facebook.com/RepFrenchHill","RepFrenchHill","https://twitter.com/RepFrenchHill","https://cdn.civil.services/us-house/headshots/512x512/french-hill.jpg"
